language,filename,blank,comment,code,"github.com/AlDanial/cloc v 1.82  T=0.08 s (448.7 files/s, 88826.2 lines/s)"
XML,./NoHacemos_Metodologia_2_2019/TriviflexPlus/nbproject/build-impl.xml,3,126,1291
XML,./NoHacemos_Metodologia_2_2019/JavaApplication9/nbproject/build-impl.xml,3,126,1291
Java,./NoHacemos_Metodologia_2_2019/TriviflexPlus/src/Principal/Contr_rseries.java,44,41,423
FXML,./NoHacemos_Metodologia_2_2019/TriviflexPlus/src/Vistas/rseries.fxml,2,0,223
Java,./NoHacemos_Metodologia_2_2019/TriviflexPlus/src/Principal/Contr_rmusica.java,38,15,220
Java,./NoHacemos_Metodologia_2_2019/TriviflexPlus/src/Principal/Contr_rpeliculas.java,43,21,219
FXML,./NoHacemos_Metodologia_2_2019/TriviflexPlus/src/Vistas/rpeliculas.fxml,2,0,177
FXML,./NoHacemos_Metodologia_2_2019/TriviflexPlus/src/Vistas/musica.fxml,2,0,165
Java,./NoHacemos_Metodologia_2_2019/TriviflexPlus/src/Principal/Contr_peliculas.java,24,14,163
Java,./NoHacemos_Metodologia_2_2019/TriviflexPlus/src/Principal/Contr_series.java,25,9,154
Java,./NoHacemos_Metodologia_2_2019/TriviflexPlus/src/Principal/Contr_musica.java,31,27,151
FXML,./NoHacemos_Metodologia_2_2019/TriviflexPlus/src/Vistas/series.fxml,2,0,142
Java,./NoHacemos_Metodologia_2_2019/TriviflexPlus/src/Principal/Main.java,15,39,138
Java,./NoHacemos_Metodologia_2_2019/TriviflexPlus/src/Principal/Contr_busqueda.java,33,16,124
FXML,./NoHacemos_Metodologia_2_2019/TriviflexPlus/src/Vistas/rmusica.fxml,2,0,116
Java,./NoHacemos_Metodologia_2_2019/TriviflexPlus/src/Principal/Contr_principal.java,19,9,109
FXML,./NoHacemos_Metodologia_2_2019/TriviflexPlus/src/Vistas/peliculas.fxml,2,0,108
Java,./NoHacemos_Metodologia_2_2019/TriviflexPlus/src/Principal/Contr_registro.java,8,10,90
FXML,./NoHacemos_Metodologia_2_2019/TriviflexPlus/src/Vistas/principal.fxml,2,0,87
Java,./NoHacemos_Metodologia_2_2019/TriviflexPlus/src/Logica/Serie.java,29,15,87
FXML,./NoHacemos_Metodologia_2_2019/TriviflexPlus/src/Vistas/busqueda.fxml,2,0,77
Java,./NoHacemos_Metodologia_2_2019/TriviflexPlus/src/Principal/Contr_iniciofx.java,12,9,67
Java,./NoHacemos_Metodologia_2_2019/TriviflexPlus/src/Logica/Musica.java,20,9,62
Java,./NoHacemos_Metodologia_2_2019/TriviflexPlus/src/Logica/Pelicula.java,24,9,62
FXML,./NoHacemos_Metodologia_2_2019/TriviflexPlus/src/Vistas/inicio.fxml,2,0,55
Java,./NoHacemos_Metodologia_2_2019/TriviflexPlus/src/Principal/prueba.java,7,9,43
FXML,./NoHacemos_Metodologia_2_2019/TriviflexPlus/src/Vistas/registro.fxml,2,0,32
Java,./NoHacemos_Metodologia_2_2019/TriviflexPlus/src/Logica/Multimedia.java,9,12,29
Java,./NoHacemos_Metodologia_2_2019/TriviflexPlus/src/Principal/SceneHandler.java,8,9,24
Java,./NoHacemos_Metodologia_2_2019/TriviflexPlus/src/Logica/Usuario.java,8,12,21
XML,./NoHacemos_Metodologia_2_2019/JavaApplication9/nbproject/project.xml,0,0,15
XML,./NoHacemos_Metodologia_2_2019/TriviflexPlus/nbproject/project.xml,0,0,15
Ant,./NoHacemos_Metodologia_2_2019/JavaApplication9/build.xml,13,55,5
Ant,./NoHacemos_Metodologia_2_2019/TriviflexPlus/build.xml,13,55,5
Java,./NoHacemos_Metodologia_2_2019/JavaApplication9/src/javaapplication9/JavaApplication9.java,3,13,5
Java,./NoHacemos_Metodologia_2_2019/TriviflexPlus/src/Logica/Almacenado.java,2,14,3
SUM,,454,674,5998
