language,filename,blank,comment,code,"github.com/AlDanial/cloc v 1.82  T=2.48 s (251.6 files/s, 186930.7 lines/s)"
JavaScript,./SoftProyectAdmin_G2/frontend/dist/vendor.js,7539,43656,137049
JavaScript,./SoftProyectAdmin_G2/frontend/dist/default~views-cursos-cursos-module~views-dashboard-dashboard-module~views-proyectos-proyectos-module~791ed546.js,16654,37986,68873
JavaScript,./SoftProyectAdmin_G2/frontend/dist/views-proyectos-proyectos-module.js,7826,13785,19911
JSON,./SoftProyectAdmin_G2/frontend/package-lock.json,0,0,15495
JSON,./SoftProyectAdmin_G2/backend/package-lock.json,0,0,10143
JavaScript,./SoftProyectAdmin_G2/frontend/dist/polyfills-es5.js,2145,2875,9767
JavaScript,./SoftProyectAdmin_G2/frontend/dist/polyfills.js,438,1152,4204
JavaScript,./SoftProyectAdmin_G2/frontend/dist/main.js,570,285,3911
Sass,./SoftProyectAdmin_G2/frontend/src/app/views/principal/principal.component.scss,656,0,2504
CSS,./SoftProyectAdmin_G2/frontend/src/app/views/principal/assets/css/main.css,656,24,2479
JavaScript,./SoftProyectAdmin_G2/frontend/dist/views-cursos-cursos-module.js,188,42,2315
CSS,./SoftProyectAdmin_G2/frontend/src/assets/styles/iconsmind/iconsmind.css,3,2,1836
JavaScript,./SoftProyectAdmin_G2/frontend/dist/views-usuarios-usuarios-module.js,117,25,1584
JavaScript,./SoftProyectAdmin_G2/frontend/dist/views-dashboard-dashboard-module.js,86,41,1173
TypeScript,./SoftProyectAdmin_G2/frontend/src/app/views/proyectos/project/project.component.ts,63,11,810
SVG,./SoftProyectAdmin_G2/frontend/src/app/views/principal/assets/fonts/fontawesome-webfont.svg,0,0,685
HTML,./SoftProyectAdmin_G2/frontend/src/app/views/proyectos/project/project.component.html,26,4,681
PHP,./SoftProyectAdmin_G2/backend/app/Http/Controllers/DocumentController.php,90,4,659
Sass,./SoftProyectAdmin_G2/frontend/src/assets/styles/vendor/bootstrap/_variables.scss,0,96,638
SVG,./SoftProyectAdmin_G2/frontend/src/assets/styles/iconsmind/iconsmind.svg,0,0,615
Sass,./SoftProyectAdmin_G2/frontend/src/assets/styles/vendor/bootstrap-rtl/_variables.scss,228,94,572
JavaScript,./SoftProyectAdmin_G2/frontend/dist/views-sessions-sessions-module.js,69,23,544
TypeScript,./SoftProyectAdmin_G2/frontend/src/app/views/proyectos/project/documents/documents.component.ts,39,14,426
Sass,./SoftProyectAdmin_G2/frontend/src/assets/styles/vendor/bootstrap/_custom-forms.scss,61,39,333
JavaScript,./SoftProyectAdmin_G2/frontend/dist/default~views-cursos-cursos-module~views-proyectos-proyectos-module.js,39,17,332
JavaScript,./SoftProyectAdmin_G2/frontend/src/app/views/principal/assets/js/util.js,186,75,326
Sass,./SoftProyectAdmin_G2/frontend/src/assets/styles/app/globals/layouts/sidebar-compact/_layout-sidebar-compact.scss,8,4,314
Sass,./SoftProyectAdmin_G2/frontend/src/assets/styles/app/globals/layouts/sidebar-large/_layout-sidebar-large.scss,14,2,298
PHP,./SoftProyectAdmin_G2/backend/app/Http/Controllers/CoursesController.php,36,10,284
HTML,./SoftProyectAdmin_G2/frontend/src/app/views/ui-kits/cards/cards.component.html,28,3,278
JavaScript,./SoftProyectAdmin_G2/frontend/dist/styles.js,101,46,278
PHP,./SoftProyectAdmin_G2/backend/app/Http/Controllers/ProjectsController.php,45,27,272
Sass,./SoftProyectAdmin_G2/frontend/src/assets/styles/vendor/bootstrap/_reboot.scss,83,136,264
Sass,./SoftProyectAdmin_G2/frontend/src/assets/styles/vendor/bootstrap-rtl/_reboot.scss,83,136,263
TypeScript,./SoftProyectAdmin_G2/frontend/src/app/views/cursos/gestion/gestion.component.ts,36,0,253
Sass,./SoftProyectAdmin_G2/frontend/src/assets/styles/app/globals/components/_form.scss,17,2,249
Sass,./SoftProyectAdmin_G2/frontend/src/assets/styles/app/globals/components/_loader.scss,5,4,234
JSON,./SoftProyectAdmin_G2/frontend/src/assets/styles/vendor/bootstrap/.eslintrc.json,6,0,227
PHP,./SoftProyectAdmin_G2/backend/app/Http/Controllers/UsersController.php,35,12,225
TypeScript,./SoftProyectAdmin_G2/frontend/src/app/views/usuarios/gestion/gestion.component.ts,30,0,225
Sass,./SoftProyectAdmin_G2/frontend/src/assets/styles/vendor/bootstrap-rtl/_custom-forms.scss,43,32,222
Sass,./SoftProyectAdmin_G2/frontend/src/assets/styles/vendor/bootstrap/_card.scss,55,30,216
HTML,./SoftProyectAdmin_G2/frontend/src/app/views/ui-kits/card-widgets/card-widgets.component.html,9,0,208
Sass,./SoftProyectAdmin_G2/frontend/src/assets/styles/vendor/bootstrap-rtl/_navbar.scss,57,47,207
Sass,./SoftProyectAdmin_G2/frontend/src/assets/styles/vendor/bootstrap/_forms.scss,53,74,206
Sass,./SoftProyectAdmin_G2/frontend/src/assets/styles/vendor/bootstrap-rtl/_forms.scss,55,73,205
TypeScript,./SoftProyectAdmin_G2/frontend/src/app/views/cursos/curso/curso.component.ts,27,7,197
Sass,./SoftProyectAdmin_G2/frontend/src/assets/styles/vendor/bootstrap/_navbar.scss,55,47,197
Sass,./SoftProyectAdmin_G2/frontend/src/assets/styles/vendor/bootstrap-rtl/_card.scss,49,27,194
Sass,./SoftProyectAdmin_G2/frontend/src/assets/styles/app/globals/layouts/sidebar-compact/_header.scss,9,1,193
Sass,./SoftProyectAdmin_G2/frontend/src/assets/styles/app/globals/layouts/sidebar-large/_header.scss,13,0,191
HTML,./SoftProyectAdmin_G2/frontend/src/app/views/ui-kits/card-metrics/card-metrics.component.html,23,0,184
Sass,./SoftProyectAdmin_G2/frontend/src/assets/styles/app/globals/components/_card.scss,12,7,182
TypeScript,./SoftProyectAdmin_G2/frontend/src/app/shared/services/customizer.service.ts,6,6,180
Sass,./SoftProyectAdmin_G2/frontend/src/assets/styles/vendor/bootstrap/_carousel.scss,32,29,175
HTML,./SoftProyectAdmin_G2/frontend/src/app/views/cursos/curso/curso.component.html,21,0,175
TypeScript,./SoftProyectAdmin_G2/frontend/src/app/views/ui-kits/card-metrics/card-metrics.component.ts,9,0,173
Markdown,./SoftProyectAdmin_G2/frontend/src/assets/styles/vendor/bootstrap/.github/CONTRIBUTING.md,72,0,171
TypeScript,./SoftProyectAdmin_G2/frontend/src/app/views/proyectos/add-project/add-project.component.ts,20,4,169
HTML,./SoftProyectAdmin_G2/frontend/src/app/views/proyectos/add-project/add-project.component.html,9,0,163
TypeScript,./SoftProyectAdmin_G2/frontend/src/app/views/proyectos/edit-project/edit-project.component.ts,19,3,158
Sass,./SoftProyectAdmin_G2/frontend/src/assets/styles/vendor/bootstrap/_popover.scss,28,5,150
Sass,./SoftProyectAdmin_G2/frontend/src/assets/styles/vendor/bootstrap-rtl/_popover.scss,28,5,150
JSON,./SoftProyectAdmin_G2/frontend/angular.json,0,0,150
JavaScript,./SoftProyectAdmin_G2/frontend/dist/runtime.js,0,74,150
Sass,./SoftProyectAdmin_G2/frontend/src/assets/styles/vendor/bootstrap-rtl/_carousel.scss,24,19,148
HTML,./SoftProyectAdmin_G2/frontend/src/app/views/usuarios/gestion/gestion.component.html,6,11,143
Sass,./SoftProyectAdmin_G2/frontend/src/assets/styles/app/globals/components/_button.scss,7,0,143
HTML,./SoftProyectAdmin_G2/frontend/src/app/views/proyectos/gestion/gestion.component.html,14,65,139
TypeScript,./SoftProyectAdmin_G2/frontend/src/app/shared/echart-styles.ts,1,1,139
HTML,./SoftProyectAdmin_G2/frontend/src/app/views/ui-kits/modals/modals.component.html,10,0,134
Sass,./SoftProyectAdmin_G2/frontend/src/assets/styles/vendor/bootstrap/_dropdown.scss,18,15,133
TypeScript,./SoftProyectAdmin_G2/frontend/src/app/shared/services/navigation.service.ts,9,16,133
Sass,./SoftProyectAdmin_G2/frontend/src/assets/styles/app/globals/_globals.scss,10,0,131
HTML,./SoftProyectAdmin_G2/frontend/src/app/views/proyectos/project/tasks/tasks.component.html,7,1,131
JSON,./SoftProyectAdmin_G2/frontend/tslint.json,0,0,131
HTML,./SoftProyectAdmin_G2/frontend/src/app/views/principal/principal.component.html,31,16,129
HTML,./SoftProyectAdmin_G2/frontend/src/app/views/cursos/gestion/gestion.component.html,17,3,127
TypeScript,./SoftProyectAdmin_G2/frontend/src/app/shared/directives/sidebar.directive.ts,24,0,123
Sass,./SoftProyectAdmin_G2/frontend/src/assets/styles/vendor/bootstrap/_tables.scss,37,28,122
TypeScript,./SoftProyectAdmin_G2/frontend/src/app/material.module.ts,2,2,122
Sass,./SoftProyectAdmin_G2/frontend/src/assets/styles/vendor/bootstrap/_modal.scss,26,33,121
PHP,./SoftProyectAdmin_G2/backend/app/Http/Controllers/UserRequirementController.php,15,41,119
Sass,./SoftProyectAdmin_G2/frontend/src/assets/styles/vendor/bootstrap/mixins/_forms.scss,18,14,115
Sass,./SoftProyectAdmin_G2/frontend/src/assets/styles/app/globals/views/_user-profile.scss,3,0,115
Sass,./SoftProyectAdmin_G2/frontend/src/assets/styles/vendor/bootstrap-rtl/_tables.scss,37,28,115
TypeScript,./SoftProyectAdmin_G2/frontend/src/app/views/cursos/add-course/add-course.component.ts,14,2,114
Sass,./SoftProyectAdmin_G2/frontend/src/assets/styles/app/globals/components/_customizer.scss,1,1,114
Sass,./SoftProyectAdmin_G2/frontend/src/assets/styles/vendor/bootstrap-rtl/_modal.scss,23,32,113
