language,filename,blank,comment,code,"github.com/AlDanial/cloc v 1.82  T=4.01 s (154.2 files/s, 240071.9 lines/s)"
Sass,./Memoria2021/frontend/src/assets/styles/vendor/bootstrap-rtl/_forms.scss,55,73,205
HTML,./Memoria2021/frontend/src/app/views/cursos/curso/curso.component.html,22,0,201
Sass,./Memoria2021/frontend/src/assets/styles/vendor/bootstrap/_navbar.scss,55,47,197
Sass,./Memoria2021/frontend/src/assets/styles/vendor/bootstrap-rtl/_card.scss,49,27,194
Sass,./Memoria2021/frontend/src/assets/styles/app/globals/layouts/sidebar-compact/_header.scss,9,1,193
Sass,./Memoria2021/frontend/src/assets/styles/app/globals/layouts/sidebar-large/_header.scss,13,0,192
HTML,./Memoria2021/frontend/src/app/views/ui-kits/card-metrics/card-metrics.component.html,23,0,184
Sass,./Memoria2021/frontend/src/assets/styles/app/globals/components/_card.scss,12,7,182
TypeScript,./Memoria2021/frontend/src/app/views/instituciones/gestion/gestion.component.ts,24,0,181
TypeScript,./Memoria2021/frontend/src/app/shared/services/customizer.service.ts,6,6,180
Sass,./Memoria2021/frontend/src/assets/styles/vendor/bootstrap/_carousel.scss,32,29,175
TypeScript,./Memoria2021/frontend/src/app/views/ui-kits/card-metrics/card-metrics.component.ts,9,0,173
Markdown,./Memoria2021/frontend/src/assets/styles/vendor/bootstrap/.github/CONTRIBUTING.md,72,0,171
HTML,./Memoria2021/frontend/src/app/views/usuarios/gestion/gestion.component.html,6,11,169
TypeScript,./Memoria2021/frontend/src/app/views/proyectos/edit-project/edit-project.component.ts,26,4,169
TypeScript,./Memoria2021/frontend/src/app/views/proyectos/gestion/gestion.component.ts,25,3,169
TypeScript,./Memoria2021/frontend/src/app/shared/services/navigation.service.ts,9,25,158
JSON,./Memoria2021/frontend/angular.json,0,0,151
Sass,./Memoria2021/frontend/src/assets/styles/vendor/bootstrap/_popover.scss,28,5,150
JavaScript,./Memoria2021/frontend/dist/runtime-es2015.js,0,74,150
Sass,./Memoria2021/frontend/src/assets/styles/vendor/bootstrap-rtl/_popover.scss,28,5,150
JavaScript,./Memoria2021/frontend/dist/runtime-es5.js,0,74,150
Sass,./Memoria2021/frontend/src/assets/styles/vendor/bootstrap-rtl/_carousel.scss,24,19,148
TypeScript,./Memoria2021/frontend/src/app/views/proyectos/add-project/add-project.component.ts,18,4,146
Sass,./Memoria2021/frontend/src/assets/styles/app/globals/components/_button.scss,7,0,143
TypeScript,./Memoria2021/frontend/src/app/views/dashboard/dashboad-docente/dashboad-default.component.ts,15,3,141
TypeScript,./Memoria2021/frontend/src/app/shared/echart-styles.ts,1,1,139
HTML,./Memoria2021/frontend/src/app/views/ui-kits/modals/modals.component.html,10,0,134
HTML,./Memoria2021/frontend/src/app/views/proyectos/add-project/add-project.component.html,4,0,133
Sass,./Memoria2021/frontend/src/assets/styles/vendor/bootstrap/_dropdown.scss,18,15,133
Sass,./Memoria2021/frontend/src/assets/styles/app/globals/_globals.scss,10,0,131
JSON,./Memoria2021/frontend/tslint.json,0,0,131
HTML,./Memoria2021/frontend/src/app/views/proyectos/edit-project/edit-project.component.html,4,0,130
Python,./Memoria2021/backend/public/scripts/csv_as_enclosure_json.py,34,37,130
