entity,n-revs
resources/views/web_principal/layout/app.blade.php,12
resources/views/web_principal/blog.blade.php,9
resources/views/web_principal/blog_detail.blade.php,8
resources/views/web_principal/contacto.blade.php,8
app/Http/Controllers/WebController.php,7
routes/web.php,7
app/Http/Controllers/GestionController.php,5
resources/views/gestion/configuraciones.blade.php,4
database/migrations/2020_11_22_062815_create_entradas_table.php,3
resources/views/gestion/layouts/app.blade.php,3
public/.DS_Store,3
resources/views/gestion/layouts/header.blade.php,3
public/js/contact.js,3
resources/views/web_principal/home.blade.php,2
resources/views/gestion/usuarios.blade.php,2
database/seeders/DatabaseSeeder.php,2
.DS_Store,2
composer.lock,2
config/app.php,2
resources/views/gestion/publicaciones.blade.php,2
database/migrations/2014_10_12_000000_create_users_table.php,2
resources/views/chat.blade.php,2
app/Http/Middleware/VerifyCsrfToken.php,2
app/Providers/AppServiceProvider.php,2
composer.json,2
resources/views/web_principal/layout/footer.blade.php,2
public/.htaccess,2
public/gestion/scss/icons/font-awesome/webfonts/fa-regular-400.eot,1
config/auth.php,1
public/img/instagram/Image-02.jpg,1
config/mail.php,1
public/gestion/css/icons/font-awesome/css/fontawesome.min.css,1
public/assets/plugins/gmaps/lib/gmaps.overlays.js,1
public/assets/images/users/agent.jpg,1
public/vendors/owl-carousel/owl.carousel.min.js,1
public/gestion/scss/prepros-6.config,1
public/gestion/scss/core/breadcrumb/breadcrumb.scss,1
public/assets/plugins/flot/examples/axes-interacting/index.html,1
public/gestion/scss/bootstrap/utilities/_position.scss,1
public/gestion/css/icons/font-awesome/scss/_list.scss,1
public/gestion/scss/bootstrap/_code.scss,1
public/assets/plugins/gmaps/gmaps.js,1
public/gestion/scss/bootstrap/mixins/_badge.scss,1
public/gestion/css/icons/weather-icons/css/weather-icons-wind.css,1
app/Http/Middleware/TrustProxies.php,1
public/gestion/css/icons/weather-icons/less/icon-variables/variables-wind-names.less,1
public/gestion/scss/bootstrap/mixins/_table-row.scss,1
public/gestion/css/icons/weather-icons/less/icon-classes/classes-day.less,1
package-lock.json,1
public/gestion/scss/icons/font-awesome/scss/_stacked.scss,1
public/gestion/css/icons/font-awesome/less/_fixed-width.less,1
public/gestion/scss/bootstrap/_functions.scss,1
public/gestion/scss/bootstrap/mixins/_reset-text.scss,1
public/assets/plugins/flot/jquery.flot.selection.js,1
public/vendors/animate-css/wow.min.js,1
public/assets/images/.DS_Store,1
public/assets/plugins/flot/examples/annotating/index.html,1
public/css/style.min.css,1
public/img/projects/projects-6.jpg,1
public/gestion/css/icons/weather-icons/sass/icon-classes/classes-direction.scss,1
public/assets/plugins/chartist/dist/chartist.min.js,1
public/img/blog/next.jpg,1
public/vendors/linericon/fonts/Linearicons-Free.svg,1
public/img/team/team-3.jpg,1
public/scss/style.scss,1
public/gestion/scss/bootstrap/bootstrap.scss,1
resources/views/gestion/home.blade.php,1
public/gestion/scss/widgets/profile.scss,1
public/gestion/scss/icons/font-awesome/scss/_core.scss,1
public/gestion/css/icons/weather-icons/css/weather-icons.min.css,1
public/img/blog/c5.jpg,1
public/gestion/css/icons/weather-icons/less/weather-icons-classes.less,1
public/gestion/scss/bootstrap/utilities/_visibility.scss,1
public/img/instagram/Image-06.jpg,1
public/assets/images/users/profile.png,1
public/vendors/linericon/fonts/Linearicons-Free.ttf,1
public/gestion/scss/icons/simple-line-icons/scss/simple-line-icons.scss,1
public/assets/plugins/perfect-scrollbar/dist/js/perfect-scrollbar.min.js,1
public/gestion/css/icons/font-awesome/less/fontawesome.less,1
public/assets/images/users/d5.jpg,1
public/assets/images/big/img4.jpg,1
public/gestion/scss/icons/font-awesome/webfonts/fa-regular-400.svg,1
