entity,n-revs
TriviflexPlus/src/Vistas/rpeliculas.fxml,17
TriviflexPlus/src/Principal/Contr_rpeliculas.java,16
TriviflexPlus/src/Principal/Main.java,12
TriviflexPlus/src/Vistas/rseries.fxml,12
TriviflexPlus/src/Principal/Contr_rseries.java,12
TriviflexPlus/src/Vistas/peliculas.fxml,11
TriviflexPlus/src/Vistas/series.fxml,10
TriviflexPlus/src/Vistas/rmusica.fxml,10
TriviflexPlus/src/Vistas/inicio.fxml,10
TriviflexPlus/src/Vistas/principal.fxml,9
TriviflexPlus/src/Principal/Contr_principal.java,9
TriviflexPlus/src/Principal/Contr_peliculas.java,9
TriviflexPlus/src/Principal/Contr_series.java,8
TriviflexPlus/src/Principal/Contr_rmusica.java,8
TriviflexPlus/src/Vistas/musica.fxml,8
TriviflexPlus/src/Vistas/busqueda.fxml,7
TriviflexPlus/src/Logica/Pelicula.java,7
TriviflexPlus/src/Principal/Contr_busqueda.java,7
TriviflexPlus/src/Principal/Contr_iniciofx.java,6
TriviflexPlus/src/Logica/Serie.java,6
TriviflexPlus/src/Principal/Contr_musica.java,6
TriviflexPlus/src/Logica/Musica.java,5
TriviflexPlus/src/Vistas/registro.fxml,4
TriviflexPlus/src/Principal/Contr_registro.java,3
TriviflexPlus/src/Vistas/registrar.fxml,3
TriviflexPlus/src/Principal/SceneHandler.java,2
TriviflexPlus/src/Principal/Registro.fxml,2
TriviflexPlus/src/Recursos/serie2.jpg,2
TriviflexPlus/src/Recursos/bueno.flv,2
TriviflexPlus/src/Recursos/serie1.jpg,2
TriviflexPlus/src/Logica/Multimedia.java,2
TriviflexPlus/src/Recursos/deadpoolb.jpg,2
TriviflexPlus/src/Logica/Usuario.java,2
TriviflexPlus/src/Principal/RegistroController.java,2
TriviflexPlus/nbproject/project.properties,2
TriviflexPlus/src/Vistas/pruebaro.fxml,2
TriviflexPlus/src/Logica/Almacenado.java,2
TriviflexPlus/src/Recursos/jojophantb.jpg,1
TriviflexPlus/src/Principal/prueba.java,1
TriviflexPlus/nbproject/project.xml,1
TriviflexPlus/src/Recursos/chemical.jpg,1
TriviflexPlus/src/Recursos/Banner-Undertale-Hearts-1024x576.jpg,1
TriviflexPlus/src/Recursos/endgame.jpg,1
JavaApplication9/nbproject/genfiles.properties,1
TriviflexPlus/src/Recursos/10-buenardo-de-rucule-picantovich-meanwhile-in-2029-46169204.png,1
TriviflexPlus/build.xml,1
TriviflexPlus/src/Recursos/search.png,1
TriviflexPlus/src/Recursos/redIcon.png,1
TriviflexPlus/src/Recursos/Black.jpg,1
TriviflexPlus/src/Recursos/peli3.jpg,1
TriviflexPlus/src/Recursos/jojophant.jpg,1
TriviflexPlus/src/Recursos/play.png,1
TriviflexPlus/src/Recursos/catsb.jpg,1
TriviflexPlus/src/Recursos/gerudob.jpg,1
TriviflexPlus/src/Recursos/Megalovania.jpg,1
TriviflexPlus/src/Recursos/stop.png,1
TriviflexPlus/src/Recursos/undertalee.jpg,1
TriviflexPlus/bueno.flv,1
TriviflexPlus/src/Recursos/logo.png,1
TriviflexPlus/src/Recursos/pause.png,1
JavaApplication9/nbproject/project.xml,1
TriviflexPlus/src/Recursos/referencia.jpg,1
TriviflexPlus/src/Recursos/serie3.jpg,1
TriviflexPlus/src/Recursos/File_20121026135500.jpg,1
TriviflexPlus/src/Recursos/gerudo.jpg,1
TriviflexPlus/nbproject/build-impl.xml,1
TriviflexPlus/src/Recursos/greenb.jpg,1
TriviflexPlus/src/Recursos/plant.jpg,1
JavaApplication9/nbproject/build-impl.xml,1
TriviflexPlus/src/Recursos/peli2.jpg,1
JavaApplication9/src/javaapplication9/JavaApplication9.java,1
TriviflexPlus/src/Recursos/jojostardb.jpg,1
TriviflexPlus/src/Recursos/green.jpg,1
JavaApplication9/manifest.mf,1
JavaApplication9/nbproject/project.properties,1
TriviflexPlus/manifest.mf,1
TriviflexPlus/src/Recursos/megalo.png,1
JavaApplication9/build.xml,1
TriviflexPlus/src/Recursos/cats.jpeg,1
TriviflexPlus/src/Recursos/imagen inicio.jpg,1
TriviflexPlus/bueno.mp4,1
TriviflexPlus/src/Recursos/felicidad.jpg,1
TriviflexPlus/nbproject/genfiles.properties,1
TriviflexPlus/src/Recursos/endgameb.jpg,1
TriviflexPlus/src/Recursos/Chemical Plant Zone.jpg,1
TriviflexPlus/src/Recursos/jojostard.jpg,1
TriviflexPlus/src/Recursos/Gerudo Valley.jpg,1
TriviflexPlus/src/Recursos/endgameb.png,1
TriviflexPlus/src/Recursos/deadpool.jpg,1
TriviflexPlus/src/Recursos/GENESIS--Sonic the Hedgehog 2_Sep30 17_44_36.jpg,1
TriviflexPlus/src/Recursos/Green Hill Zone.png,1
