entity,n-revs
frontend/src/app/views/proyectos/project/project.component.html,47
backend/routes/api.php,45
frontend/src/app/views/proyectos/project/project.component.ts,42
frontend/src/environments/environment.ts,40
frontend/dist/main.js,27
frontend/dist/main.js.map,27
frontend/src/app/views/usuarios/gestion/gestion.component.html,26
frontend/src/app/views/proyectos/gestion/gestion.component.html,20
frontend/src/app/views/usuarios/gestion/gestion.component.ts,20
frontend/dist/views-cursos-cursos-module.js,20
frontend/dist/views-proyectos-proyectos-module.js,19
frontend/src/app/views/dashboard/dashboad-default/dashboad-default.component.html,18
frontend/src/app/views/cursos/gestion/gestion.component.html,18
backend/app/Http/Controllers/CoursesController.php,17
frontend/src/app/views/proyectos/proyectos.module.ts,17
frontend/src/app/views/principal/principal.component.html,17
frontend/dist/views-proyectos-proyectos-module.js.map,17
frontend/dist/views-sessions-sessions-module.js,17
frontend/src/app/views/proyectos/project/documents/documents.component.ts,16
frontend/dist/views-cursos-cursos-module.js.map,16
backend/app/Http/Controllers/ProjectsController.php,15
frontend/src/app/views/cursos/gestion/gestion.component.ts,15
frontend/package.json,15
frontend/src/app/views/proyectos/add-project/add-project.component.ts,15
frontend/package-lock.json,14
frontend/src/app/views/proyectos/gestion/gestion.component.ts,14
frontend/src/app/_services/projects.service.ts,14
backend/app/Http/Controllers/DocumentController.php,14
frontend/dist/default~views-cursos-cursos-module~views-proyectos-proyectos-module.js,14
frontend/src/app/views/dashboard/dashboad-default/dashboad-default.component.ts,13
frontend/src/app/app.module.ts,12
backend/app/Http/Controllers/UsersController.php,12
frontend/dist/views-usuarios-usuarios-module.js.map,11
frontend/src/app/shared/components/layouts/admin-layout-sidebar-large/header-sidebar-large/header-sidebar-large.component.html,11
backend/composer.lock,11
frontend/src/app/app-routing.module.ts,11
frontend/dist/views-usuarios-usuarios-module.js,11
frontend/dist/views-dashboard-dashboard-module.js.map,11
frontend/src/app/_services/usuarios.service.ts,11
frontend/src/app/views/proyectos/add-project/add-project.component.html,11
frontend/src/app/views/proyectos/project/documents/documents.component.html,10
frontend/src/app/_services/cursos.service.ts,10
frontend/src/app/views/proyectos/project/add-user-requirement/add-user-requirement.component.ts,10
backend/app/User.php,10
frontend/dist/views-sessions-sessions-module.js.map,10
backend/app/Http/Controllers/AdminController.php,10
backend/app/Http/Controllers/AuthController.php,10
frontend/dist/default~views-cursos-cursos-module~views-dashboard-dashboard-module~views-proyectos-proyectos-module~791ed546.js.map,10
frontend/dist/views-dashboard-dashboard-module.js,9
frontend/src/app/views/sessions/signin/signin.component.ts,9
frontend/src/app/views/cursos/curso/curso.component.ts,9
frontend/src/app/views/proyectos/project/add-user-requirement/add-user-requirement.component.html,9
frontend/src/app/views/cursos/curso/curso.component.html,8
backend/app/Http/Controllers/UserRequirementController.php,8
backend/database/migrations/2020_05_19_063103_create_projects_table.php,8
frontend/dist/default~views-cursos-cursos-module~views-dashboard-dashboard-module~views-proyectos-proyectos-module~791ed546.js,8
.DS_Store,8
frontend/dist/default~views-cursos-cursos-module~views-proyectos-proyectos-module.js.map,8
frontend/src/app/views/cursos/cursos.module.ts,8
backend/database/migrations/2020_05_19_063201_create_user_requirements_table.php,8
backend/database/migrations/2020_05_19_063042_create_courses_table.php,8
frontend/src/app/shared/services/navigation.service.ts,8
frontend/src/app/views/proyectos/project/add-software-requirement/add-software-requirement.component.html,8
frontend/dist/vendor.js.map,7
backend/database/migrations/2020_05_19_063249_create_document_sections_table.php,7
backend/app/Course.php,7
backend/database/migrations/2020_05_19_063223_create_software_requirements_table.php,7
backend/composer.json,7
frontend/src/app/views/sessions/signin/signin.component.html,7
backend/database/migrations/2014_10_12_000000_create_users_table.php,7
frontend/dist/vendor.js,7
frontend/src/app/shared/components/layouts/admin-layout-sidebar-large/sidebar-large/sidebar-large.component.html,6
frontend/dist/styles.js,6
frontend/dist/polyfills.js,6
frontend/src/app/views/cursos/add-course/add-course.component.html,6
frontend/dist/polyfills.js.map,6
backend/app/Http/Controllers/AyudanteController.php,6
frontend/dist/runtime.js.map,6
frontend/src/app/views/cursos/add-course/add-course.component.ts,6
frontend/src/app/views/dashboard/dashboard-routing.module.ts,6
frontend/dist/runtime.js,6
frontend/dist/styles.js.map,6
backend/app/Http/Kernel.php,6
frontend/dist/polyfills-es5.js.map,6
frontend/dist/polyfills-es5.js,6
frontend/src/app/shared/components/layouts/admin-layout-sidebar-large/header-sidebar-large/header-sidebar-large.component.ts,5
backend/app/Http/Controllers/SoftwareRequirementController.php,5
frontend/src/app/_services/authentication.service.ts,5
backend/database/migrations/2020_05_19_063211_create_increments_table.php,5
frontend/src/app/views/proyectos/project/modules/modules.component.html,5
backend/app/Http/Controllers/ModuleController.php,5
frontend/src/app/shared/components/layouts/admin-layout-sidebar-large/sidebar-large/sidebar-large.component.ts,5
backend/app/Http/Controllers/TestCaseController.php,5
backend/database/migrations/2020_05_19_063152_create_test_cases_table.php,5
frontend/src/app/views/principal/principal.component.scss,5
backend/database/migrations/2020_05_19_063135_create_tasks_table.php,5
frontend/src/app/views/proyectos/gestion/details-project/details-project.component.html,5
frontend/src/app/views/dashboard/dashboard-v2/dashboard-v2.component.html,5
frontend/src/app/views/dashboard/dashboard.module.ts,5
frontend/src/app/app.component.html,5
frontend/src/app/views/proyectos/project/project.component.scss,4
frontend/dist/scripts.5e45ff3d9a5f89eacb48.js,4
frontend/src/app/views/usuarios/add-user/add-user.component.html,4
frontend/dist/3rdpartylicenses.txt,4
frontend/src/app/views/cursos/cursos-routing.module.ts,4
frontend/src/app/_services/userrequirements.service.ts,4
backend/app/Http/Controllers/GestionEstudianteController.php,4
frontend/src/app/views/others/not-found/not-found.component.html,4
frontend/src/app/views/proyectos/project/add-test-case/add-test-case.component.html,4
frontend/src/app/views/cursos/gestion/gestion.component.scss,4
frontend/src/app/views/usuarios/usuarios.module.ts,4
backend/app/Project.php,4
frontend/src/app/views/sessions/signup/signup.component.html,4
frontend/angular.json,4
backend/app/Http/Controllers/DocenteController.php,4
backend/database/migrations/2020_05_19_063234_create_modules_table.php,4
frontend/dist/index.html,4
frontend/src/app/views/proyectos/proyectos-routing.module.ts,4
frontend/src/app/views/proyectos/edit-project/edit-project.component.html,4
frontend/src/app/shared/components/footer/footer.component.html,4
frontend/src/index.html,4
frontend/src/assets/images/logo.png,4
frontend/src/app/views/usuarios/gestion/gestion.component.scss,4
frontend/src/app/views/sessions/forgot/forgot.component.html,3
frontend/src/app/views/sessions/signup/signup.component.ts,3
frontend/src/app/views/cursos/add-assistant-teacher/add-assistant-teacher.component.ts,3
frontend/src/app/views/usuarios/edit-user/edit-user.component.html,3
frontend/src/app/_services/project.service.spec.ts,3
frontend/dist/views-others-others-module.js.map,3
frontend/src/app/views/forms/wizard/wizard.component.html,3
frontend/src/app/views/dashboard/dashboad-estudiante/dashboad-estudiante.component.html,3
frontend/src/app/views/cursos/edit-course/edit-course.component.ts,3
frontend/src/app/views/proyectos/project/tasks/tasks.component.html,3
frontend/dist/assets/images/logo.png,3
frontend/dist/scripts.js.map,3
frontend/src/app/views/dashboard/dashboard-v3/dashboard-v3.component.html,3
frontend/src/app/views/proyectos/add-project/add-project.component.scss,3
frontend/src/app/views/usuarios/edit-user/edit-user.component.ts,3
frontend/dist/views-others-others-module.js,3
frontend/src/app/views/dashboard/dashboad-estudiante/dashboad-estudiante.component.ts,3
backend/database/seeds/DatabaseSeeder.php,3
frontend/src/app/views/usuarios/configuracionUsuario/configuracionUsuario.component.html,3
backend/routes/web.php,3
frontend/src/app/views/proyectos/project/add-test-case/add-test-case.component.ts,3
frontend/src/app/views/proyectos/project/add-software-requirement/add-software-requirement.component.ts,3
frontend/src/app/views/cursos/edit-course/edit-course.component.html,3
frontend/src/app/views/proyectos/project/project.component.spec.ts,3
frontend/src/app/views/principal/assets/img/header-bg.jpg,3
frontend/src/app/views/proyectos/gestion/details-project/details-project.component.ts,3
frontend/dist/scripts.js,3
frontend/src/app/views/proyectos/gestion/details-project/details-project.component.scss,3
backend/app/SoftwareRequirement.php,3
frontend/src/styles.css,3
frontend/src/app/views/usuarios/add-user/add-user.component.ts,3
backend/app/Http/Controllers/EstudianteController.php,3
frontend/src/app/views/proyectos/project/modules/modules.component.ts,3
backend/app/UserRequirement.php,3
frontend/src/app/views/dashboard/dashboard-v3/dashboard-v3.component.ts,3
frontend/src/app/views/dashboard/dashboad-docente/dashboad-default.component.html,3
frontend/src/app/views/usuarios/usuarios-routing.module.ts,3
backend/app/Http/Controllers/IncrementsController.php,3
frontend/src/app/views/cursos/add-cursos/add-cursos.component.ts,3
frontend/src/app/_services/project.service.ts,3
frontend/src/app/views/forms/wizard/wizard.component.scss,2
frontend/src/app/views/contacts/contacts-routing.module.ts,2
frontend/dist/{iconsmind.8e0d92f8065671453bc6.ttf => iconsmind.ttf},2
frontend/dist/polyfills.35617090ef120b45afe0.js,2
frontend/dist/15.cfb6bffe86ed54a58e8b.js,2
frontend/src/app/views/calendar/calendar-app.service.ts,2
frontend/src/app/views/forms/form-layouts/form-layouts.component.ts,2
frontend/src/app/views/ui-kits/accordions/accordions.component.spec.ts,2
frontend/src/app/views/proyectos/project/add-user-requirement/add-user-requirement.component.spec.ts,2
frontend/src/app/views/invoice/invoice-detail/invoice-detail.component.ts,2
frontend/dist/{info.bd97cff627c0ba042c39.svg => info.svg},2
frontend/src/app/views/chat/chat.module.spec.ts,2
frontend/src/app/views/data-tables/data-tables.module.spec.ts,2
frontend/src/app/views/forms/tag-inputs/tag-inputs.component.html,2
frontend/src/app/views/forms/tag-inputs/tag-inputs.component.scss,2
frontend/dist/{data-table.c8c6d300cb7abb9f36e8.ttf => data-table.ttf},2
frontend/src/assets/images/aprodes_logo.png,2
frontend/src/app/views/forms/basic-form/basic-form.component.html,2
frontend/src/app/shared/components/search/search.component.html,2
frontend/src/app/views/chat/chat/chat.component.ts,2
frontend/src/app/views/proyectos/project/add-increment/add-increment.component.ts,2
frontend/dist/{iconsmind.ec0bfa659ad4d1d1a7a4.woff => iconsmind.woff},2
frontend/src/app/views/pages/user-profile/user-profile.component.scss,2
frontend/src/app/views/proyectos/project/tasks/tasks.component.ts,2
backend/database/migrations/2020_05_19_063302_create_registries_table.php,2
frontend/src/app/views/forms/forms-routing.module.ts,2
frontend/src/app/views/forms/form-layouts/form-layouts.component.scss,2
frontend/src/app/views/chat/chat-contents/chat-contents.component.ts,2
frontend/src/app/views/data-tables/paging-table/paging-table.component.html,2
frontend/src/app/shared/inmemory-db/products.ts,2
frontend/dist/8.ebb23d706b58b9c809ad.js,2
frontend/src/app/views/forms/img-cropper/img-cropper.component.html,2
backend/database/migrations/2020_05_19_063052_create_guest_teachers_table.php,2
frontend/src/app/views/invoice/invoice-list/invoice-list.component.scss,2
frontend/src/app/views/inbox/compose-dialog/compose-dialog.component.ts,2
frontend/src/app/views/calendar/calendar.module.ts,2
frontend/src/app/views/forms/img-cropper/img-cropper.component.ts,2
frontend/src/app/_helpers/auth.guard.ts,2
frontend/dist/8.0b2cfb146d0b5cffb5c0.js,2
frontend/src/app/views/forms/input-groups/input-groups.component.spec.ts,2
frontend/src/app/views/inbox/messages/messages.component.ts,2
frontend/src/app/views/pages/user-profile/user-profile.component.spec.ts,2
frontend/src/app/views/usuarios/configuracionUsuario/configuracionUsuario.component.ts,2
frontend/dist/{data-table.246ea8fa6c452b0f3c4f.woff => data-table.woff},2
frontend/src/app/_helpers/jwt.interceptor.ts,2
frontend/dist/assets/images/photo-wide-4.jpg,2
frontend/dist/10.645682d92bd8780fe10d.js,2
frontend/dist/16.bbaede8dd7835e898e97.js,2
backend/config/jwt.php,2
frontend/src/app/views/chat/chat-contents/chat-contents.component.scss,2
frontend/src/app/views/usuarios/gestion/gestion.component.spec.ts,2
frontend/src/app/views/contacts/contacts.module.ts,2
frontend/dist/12.e696b9328ccefa3d3466.js,2
frontend/src/app/model-classes/project.ts,2
frontend/src/app/views/dashboard/dashboard-v4/dashboard-v4.component.ts,2
frontend/src/app/views/contacts/contact-grid/contact-grid.component.ts,2
frontend/dist/{data-table.b0aebd744ce7adb780a9.svg => data-table.svg},2
frontend/dist/17.1835e452d88787f66c65.js,2
frontend/src/app/views/invoice/invoice-detail/invoice-detail.component.html,2
frontend/src/app/views/invoice/invoice-routing.module.ts,2
frontend/src/app/views/calendar/calendar.module.spec.ts,2
frontend/dist/18.7652801ddd46378bbb4d.js,2
frontend/src/app/views/data-tables/data-tables-routing.module.ts,2
frontend/dist/header-bg.jpg,2
frontend/src/app/views/forms/img-cropper/img-cropper.component.spec.ts,2
frontend/src/app/views/invoice/invoice-detail/invoice-detail.component.scss,2
frontend/src/app/views/inbox/messages/messages.component.html,2
frontend/src/app/views/dashboard/dashboard-v4/dashboard-v4.component.scss,2
frontend/src/app/views/data-tables/list-pagination/list-pagination.component.html,2
frontend/src/app/views/data-tables/fullscreen-table/fullscreen-table.component.html,2
frontend/src/app/views/icons/iconsmind/iconsmind.component.scss,2
frontend/src/app/views/contacts/contact.service.ts,2
frontend/src/app/views/data-tables/paging-table/paging-table.component.ts,2
frontend/src/app/views/data-tables/fullscreen-table/fullscreen-table.component.ts,2
frontend/src/app/views/ui-kits/modals/modals.component.html,2
frontend/src/app/views/icons/iconsmind/iconsmind.component.html,2
frontend/src/app/views/usuarios/usuarios.module.spec.ts,2
frontend/src/app/views/contacts/contact-grid/contact-grid.component.spec.ts,2
frontend/src/app/shared/inmemory-db/users.ts,2
frontend/src/app/views/calendar/calendar-routing.module.ts,2
frontend/src/app/shared/inmemory-db/mails.ts,2
frontend/src/app/views/forms/input-mask/input-mask.component.spec.ts,2
frontend/src/app/views/invoice/invoice-list/invoice-list.component.ts,2
frontend/src/app/views/data-tables/paging-table/paging-table.component.spec.ts,2
frontend/dist/10.8d0cb4be1a2fa6fd8235.js,2
frontend/src/app/views/chat/chat-contents/chat-contents.component.html,2
frontend/dist/polyfills-es5.796cfe218c094e3f3fad.js,2
frontend/src/app/views/pages/pages-routing.module.ts,2
frontend/src/app/views/cursos/add-cursos/add-cursos.component.scss,2
backend/database/migrations/2020_05_30_062720_course_user.php,2
frontend/src/app/views/data-tables/filter-table/filter-table.component.spec.ts,2
frontend/src/assets/styles/app/globals/layouts/sidebar-large/_header.scss,2
frontend/src/app/views/cursos/add-cursos/add-cursos.component.html,2
frontend/src/app/views/calendar/calendar-form-dialog/calendar-form-dialog.component.html,2
frontend/src/app/views/calendar/calendar/calendar.component.html,2
frontend/src/app/views/invoice/invoice.module.ts,2
frontend/src/app/views/invoice/invoice-detail/invoice-detail.component.spec.ts,2
frontend/src/app/shared/components/form-wizard/wizard/wizard.component.html,2
frontend/src/app/views/inbox/messages/messages.component.scss,2
frontend/src/app/views/forms/basic-form/basic-form.component.ts,2
frontend/src/app/views/forms/input-groups/input-groups.component.scss,2
frontend/src/app/views/invoice/invoice-list/invoice-list.component.html,2
frontend/src/app/views/invoice/invoice-list/invoice-list.component.spec.ts,2
frontend/src/app/app.component.ts,2
frontend/src/app/views/pages/pages.module.ts,2
frontend/src/app/views/principal/assets/img/favicon.ico,2
frontend/src/app/views/pages/pages.module.spec.ts,2
frontend/src/app/views/dashboard/dashboard-v4/dashboard-v4.component.spec.ts,2
backend/config/auth.php,2
frontend/src/app/views/data-tables/fullscreen-table/fullscreen-table.component.scss,2
frontend/dist/{close.59b74f7a717aac2af2bb.svg => close.svg},2
frontend/src/app/views/dashboard/dashboard-ayudante/dashboad-default.component.html,2
frontend/src/app/views/forms/input-mask/input-mask.component.html,2
frontend/src/app/views/proyectos/gestion/details-project/details-project.component.spec.ts,2
frontend/src/assets/styles/app/globals/_height-width.scss,2
frontend/src/app/views/data-tables/filter-table/filter-table.component.html,2
frontend/src/app/views/forms/tag-inputs/tag-inputs.component.ts,2
frontend/src/app/views/inbox/messages/messages.component.spec.ts,2
frontend/dist/assets/styles/app/globals/layouts/sidebar-large/_header.scss,2
frontend/src/app/views/dashboard/dashboard-v3/dashboard-v3.component.spec.ts,2
frontend/src/app/views/data-tables/paging-table/paging-table.component.scss,2
frontend/src/app/model-classes/users.ts,2
frontend/src/environments/environment.prod.ts,2
frontend/src/app/views/dashboard/dashboard-v4/dashboard-v4.component.html,2
frontend/src/app/views/data-tables/list-pagination/list-pagination.component.scss,2
backend/app/GuestTeacher.php,2
frontend/src/app/views/forms/wizard/wizard.component.ts,2
frontend/dist/{data-table.bce071e976865da51100.eot => data-table.eot},2
frontend/src/app/views/proyectos/add-project/add-project.component.spec.ts,2
frontend/src/app/views/ui-kits/accordions/accordions.component.ts,2
frontend/src/app/views/calendar/calendar/calendar.component.scss,2
frontend/src/app/views/proyectos/project/add-increment/add-increment.component.html,2
frontend/dist/polyfills.14f6d85d0e199e1f7772.js,2
frontend/src/app/shared/inmemory-db/calendar-events.ts,2
frontend/src/app/views/dashboard/dashboard-v2/dashboard-v2.component.spec.ts,2
frontend/src/app/views/core/confirmation-dialog/confirmation-dialog.component.html,2
frontend/dist/common.f7e099e7b0cb922c86e5.js,2
frontend/src/app/views/core/confirmation-dialog/confirmation-dialog.component.scss,2
frontend/src/app/views/forms/basic-form/basic-form.component.spec.ts,2
backend/config/app.php,2
backend/app/Tools/UserProfile.php,2
frontend/dist/{danger.7044542d5bf336f841e2.svg => danger.svg},2
frontend/dist/assets/styles/app/globals/_height-width.scss,2
frontend/src/app/views/icons/icons-routing.module.ts,2
frontend/dist/common.js.map,2
frontend/src/app/views/inbox/compose-dialog/compose-dialog.component.html,2
frontend/dist/common.63365b192a2f8c517641.js,2
frontend/src/app/views/chat/chat.module.ts,2
frontend/src/app/views/inbox/compose-dialog/compose-dialog.component.spec.ts,2
frontend/src/app/views/chat/chat/chat.component.spec.ts,2
frontend/src/assets/images/photo-wide-4.jpg,2
frontend/src/app/views/chat/chat-left-sidebar/chat-left-sidebar.component.ts,2
frontend/src/app/views/calendar/calendar/calendar.component.spec.ts,2
backend/app/Http/Controllers/SoftwareRequeriment.php,2
frontend/src/app/views/principal/assets/img/navbar-logo.svg,2
frontend/src/app/views/ui-kits/accordions/accordions.component.scss,2
frontend/src/app/views/forms/form-layouts/form-layouts.component.html,2
frontend/src/app/_services/softwarerequirements.service.ts,2
frontend/src/app/views/chat/chat-left-sidebar/chat-left-sidebar.component.scss,2
backend/database/migrations/2020_05_27_200834_project_user_role.php,2
frontend/src/app/views/cursos/add-assistant-student/add-assistant-student.component.ts,2
frontend/src/app/views/calendar/calendar/calendar.component.ts,2
frontend/src/app/views/chat/chat-routing.module.ts,2
frontend/src/app/views/icons/iconsmind/iconsmind.component.ts,2
